,report_no,offense,orc,date,block_begin,block_end,street_name,neighborhood,month,year,address,block_avg
170400,159017986.02,assault -(simple assault),2903-13 (13b) -assault -(simple assault),2015-07-12 00:25:00,,,nan,camp  washington,07,2015,,
171103,21003120.02,theft -(shoplifting),2913-02 (23c) -theft -(shoplifting),2010-07-20 17:00:00,,,nan,oakley,07,2010,,
171627,11005370.02,vandalism,2909-05 (290) -vandalism,2010-11-23 00:00:00,,,nan,c. b. d. / riverfront,11,2010,,
171710,139001226.01,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2013-01-16 02:35:00,,,nan,fay apartments,01,2013,,
173008,61100431.01,theft -(from motor vehicle),2913-02 (23f) -theft -(from motor vehicle),2011-08-25 22:00:00,,,nan,mount  adams,08,2011,,
173021,129028702.01,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2012-09-25 20:30:00,,,nan,mount airy,09,2012,,
173415,149005606.02,felonious assault -(aggravated assault),2903-11 (13a) -felonious assault -(aggravated assault),2014-03-15 16:00:38,,,nan,walnut hills,03,2014,,
173607,149019271.03,theft -(all other larceny),2913-02 (23h) -theft -(all other larceny),2014-08-06 13:15:00,,,nan,clifton,08,2014,,
173911,21003103.01,theft -(from motor vehicle),2913-02 (23f) -theft -(from motor vehicle),2010-07-18 16:30:00,,,nan,oakley,07,2010,,
173918,31105203.02,assault -(simple assault),2903-13 (13b) -assault -(simple assault),2011-06-18 20:30:00,,,nan,east price hill,06,2011,,
174358,169024607.02,felonious assault -(simple assault),2903-11 (13b) -felonious assault -(simple assault),2016-09-25 01:20:00,,,nan,c. b. d. / riverfront,09,2016,,
174492,169033551.02,aggravated menacing,2903-21 (13c) -aggravated menacing,2016-12-23 16:30:00,,,nan,bondhill,12,2016,,
174603,129027947.02,theft -(from motor vehicle),2913-02 (23f) -theft -(from motor vehicle),2012-09-26 04:00:00,,,nan,c. b. d. / riverfront,09,2012,,
174628,139002905.01,theft -(motor vehicle),2913-02 (24o) -theft -(motor vehicle),2013-01-28 23:00:00,,,nan,queensgate,01,2013,,
174633,41104515.02,aggravated menacing,2903-21 (13c) -aggravated menacing,2011-07-15 14:40:00,,,nan,avondale,07,2011,,
175538,11003493.03,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2010-08-05 17:15:00,,,nan,queensgate,08,2010,,
176158,159024795.02,domestic violence -(simple assault),2919-25 (13b) -domestic violence -(simple assault),2015-09-11 09:30:00,,,nan,walnut hills,09,2015,,
176190,149007098.01,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2014-04-18 20:00:21,,,nan,west  end,04,2014,,
177593,129027888.01,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2012-09-26 18:00:00,,,nan,south  fairmount,09,2012,,
178171,129017763.01,telecommunications harassment,2917-21 (90z) -telecommunications harassment,2012-06-28 15:40:00,,,nan,east price hill,06,2012,,
178380,129034456.01,assault -(simple assault),2903-13 (13b) -assault -(simple assault),2012-11-17 23:40:00,,,nan,walnut hills,11,2012,,
178518,139011444.01,theft -(theft from building),2913-02 (23d) -theft -(theft from building),2013-05-11 00:30:00,,,nan,mount airy,05,2013,,
179545,31101325.03,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2011-02-17 20:00:00,,,nan,west price hill,02,2011,,
179560,51101454.01,criminal damaging/endangering,2909-06 (290) -criminal damaging/endangering,2011-03-22 07:40:00,,,nan,camp  washington,03,2011,,
180405,159012578.02,vehicular vandalism,2909-09 (290) -vehicular vandalism,2015-05-23 20:30:00,,,nan,c. b. d. / riverfront,05,2015,,
181292,21004412.01,theft -(shoplifting),2913-02 (23c) -theft -(shoplifting),2010-10-04 19:33:00,,,nan,oakley,10,2010,,
182497,31103474.02,telecommunications harassment,2917-21 (90z) -telecommunications harassment,2011-05-01 19:00:00,,,nan,east  westwood,05,2011,,
182717,41006882.02,theft -(motor vehicle),2913-02 (24o) -theft -(motor vehicle),2010-10-27 15:30:00,,,nan,bondhill,10,2010,,
183544,149015203.02,vehicular vandalism,2909-09 (290) -vehicular vandalism,2014-06-25 19:19:00,,,nan,walnut hills,06,2014,,
183645,31100440.01,theft -(from motor vehicle),2913-02 (23f) -theft -(from motor vehicle),2011-01-16 21:00:00,,,nan,east price hill,01,2011,,
183651,149015203.02,felonious assault -(aggravated assault),2903-11 (13a) -felonious assault -(aggravated assault),2014-06-25 19:19:00,,,nan,walnut hills,06,2014,,
183939,149016643.03,theft -(motor vehicle),2913-02 (24o) -theft -(motor vehicle),2014-07-10 20:00:00,,,nan,bondhill,07,2014,,
184033,51100412.02,theft -(all other larceny),2913-02 (23h) -theft -(all other larceny),2011-01-20 01:00:00,,,nan,-,01,2011,,
184526,139018394.02,aggravated menacing,2903-21 (13c) -aggravated menacing,2013-07-15 21:50:00,,,nan,west  end,07,2013,,
184837,31105977.04,felonious assault -(aggravated assault),2903-11 (13a) -felonious assault -(aggravated assault),2011-07-10 13:30:00,,,nan,-,07,2011,,
184849,31109063.01,assault -(simple assault),2903-13 (13b) -assault -(simple assault),2011-10-14 14:25:00,,,nan,westwood,10,2011,,
184882,21003846.02,theft -(shoplifting),2913-02 (23c) -theft -(shoplifting),2010-08-29 15:35:00,,,nan,oakley,08,2010,,
184968,129035095.02,theft -(all other larceny),2913-02 (23h) -theft -(all other larceny),2012-11-25 02:30:00,,,nan,camp  washington,11,2012,,
185024,159025077.01,theft -(from motor vehicle),2913-02 (23f) -theft -(from motor vehicle),2015-09-14 12:15:00,,,nan,roselawn,09,2015,,
185037,41006172.02,theft -(motor vehicle),2913-02 (24o) -theft -(motor vehicle),2010-09-09 20:00:00,,,nan,roselawn,09,2010,,
185755,41106877.03,theft -(from motor vehicle),2913-02 (23f) -theft -(from motor vehicle),2011-10-23 22:00:00,,,nan,roselawn,10,2011,,
186037,159027980.02,theft -(all other larceny),2913-02 (23h) -theft -(all other larceny),2015-10-10 17:00:00,,,nan,mount airy,10,2015,,
186158,139004185.03,theft -(all other larceny),2913-02 (23h) -theft -(all other larceny),2013-02-14 14:00:00,,,nan,spring grove village,02,2013,,
186518,21004286.01,theft -(all other larceny),2913-02 (23h) -theft -(all other larceny),2010-09-25 14:30:00,,,nan,california,09,2010,,
186961,41006663.03,theft -(motor vehicle),2913-02 (24o) -theft -(motor vehicle),2010-10-03 22:00:00,,,nan,hartwell,10,2010,,
187133,11103619.02,burglary,2911-12 (220) -burglary,2011-09-04 15:30:00,,,nan,over-the-rhine,09,2011,,
187206,41106123.02,aggravated robbery,2911-01 (120) -aggravated robbery,2011-09-23 01:00:00,,,nan,roselawn,09,2011,,
